Date,Open,High,Low,Close,Adj Close,Volume
2023-03-10,24.510000,24.900000,23.820000,23.969999,23.774042,9823300
2023-03-13,23.340000,23.600000,22.610001,22.950001,22.762381,13072500
2023-03-14,23.090000,23.980000,22.790001,23.230000,23.040091,9863400
2023-03-15,22.200001,22.280001,20.660000,21.260000,21.086197,19173100
2023-03-16,20.719999,22.030001,20.570000,22.010000,21.830065,14929700
2023-03-17,21.760000,21.980000,21.020000,21.200001,21.026688,21504400
2023-03-20,21.160000,22.010000,21.160000,21.740000,21.562271,10734900
2023-03-21,22.400000,23.120001,22.299999,22.959999,22.772299,11723900
2023-03-22,23.010000,23.170000,22.250000,22.280001,22.097858,10094600
2023-03-23,22.500000,22.830000,21.740000,22.000000,21.820147,10491600
2023-03-24,21.530001,22.200001,21.410000,22.160000,21.978838,10326300
2023-03-27,22.520000,23.030001,22.160000,22.900000,22.712788,10929800
2023-03-28,22.809999,23.549999,22.750000,23.270000,23.079765,10729300
2023-03-29,23.629999,23.820000,23.480000,23.639999,23.446739,9173200
2023-03-30,23.959999,24.040001,23.559999,23.709999,23.516167,7906200
2023-03-31,23.799999,24.260000,23.799999,23.959999,23.764122,9419800
2023-04-03,26.059999,26.600000,25.750000,26.330000,26.114748,21729800
2023-04-04,26.660000,26.680000,25.379999,25.730000,25.519653,18237800
2023-04-05,25.610001,25.770000,25.129999,25.700001,25.489899,11293200
2023-04-06,25.510000,25.700001,25.260000,25.520000,25.311371,7877000
2023-04-10,25.719999,26.280001,25.639999,25.760000,25.549408,10838100
2023-04-11,26.020000,26.309999,25.650000,26.110001,25.896547,9544900
2023-04-12,26.129999,26.180000,25.530001,25.620001,25.410553,11760700
2023-04-13,25.590000,25.910000,25.510000,25.660000,25.450224,9410000
2023-04-14,25.809999,25.940001,25.520000,25.730000,25.519653,8195100
2023-04-17,25.709999,25.750000,24.740000,24.799999,24.597256,14266300
2023-04-18,24.670000,24.850000,24.290001,24.740000,24.537746,11927800
2023-04-19,24.290001,24.750000,24.129999,24.660000,24.458401,9981000
2023-04-20,24.209999,24.370001,23.940001,24.270000,24.071590,8790900
2023-04-21,24.309999,24.480000,23.910000,24.090000,23.893061,7865000
2023-04-24,24.030001,24.930000,23.990000,24.730000,24.527828,9530800
2023-04-25,24.190001,24.299999,23.600000,23.740000,23.545921,10440500
2023-04-26,23.540001,23.780001,23.000000,23.290001,23.099602,10732500
2023-04-27,23.309999,23.570000,23.030001,23.480000,23.288048,9261900
2023-04-28,23.540001,24.370001,23.340000,24.160000,23.962488,9050300
2023-05-01,23.709999,24.330000,23.690001,24.040001,23.843470,7218100
2023-05-02,23.530001,23.610001,22.260000,22.740000,22.554096,11715200
2023-05-03,22.250000,22.700001,22.100000,22.270000,22.087938,12313900
2023-05-04,22.000000,22.639999,21.629999,22.080000,21.899492,14425400
2023-05-05,23.000000,23.230000,22.790001,22.930000,22.742544,11167200
2023-05-08,23.440001,23.610001,22.820000,22.820000,22.633442,8691400
2023-05-09,22.590000,23.190001,22.459999,22.900000,22.712788,10437600
2023-05-10,23.100000,23.209999,22.400000,22.670000,22.484669,9754600
2023-05-11,22.280001,22.600000,22.120001,22.469999,22.286304,8579000
2023-05-12,22.719999,22.920000,22.190001,22.389999,22.206959,8438300
2023-05-15,22.570000,22.940001,22.299999,22.670000,22.484669,10096900
2023-05-16,22.510000,22.660000,21.959999,21.969999,21.886936,8773400
2023-05-17,22.309999,22.959999,22.070000,22.709999,22.624140,11964700
2023-05-18,22.549999,23.120001,22.330000,23.049999,22.962854,9938200
2023-05-19,23.299999,23.490000,22.920000,23.070000,22.982779,10577100
2023-05-22,23.129999,23.650000,23.010000,23.430000,23.341417,8900400
2023-05-23,23.600000,24.090000,23.469999,23.639999,23.550623,10281200
2023-05-24,23.969999,24.250000,23.600000,24.020000,23.929188,11487200
2023-05-25,23.510000,23.629999,23.020000,23.330000,23.241796,13824100
2023-05-26,23.549999,23.629999,23.030001,23.260000,23.172060,9180700
2023-05-30,22.760000,22.889999,22.440001,22.840000,22.753649,9265000
2023-05-31,22.360001,22.559999,22.139999,22.160000,22.076220,15211900
2023-06-01,22.200001,22.940001,22.129999,22.469999,22.385046,10906400
2023-06-02,23.000000,23.459999,22.750000,23.260000,23.172060,14273400
2023-06-05,24.030001,24.030001,22.920000,22.940001,22.853271,12993800
2023-06-06,22.500000,23.299999,22.450001,23.180000,23.092363,12965800
2023-06-07,23.330000,24.379999,23.330000,24.309999,24.218090,14125500
2023-06-08,24.299999,24.450001,23.490000,23.950001,23.859453,14662900
2023-06-09,23.920000,24.110001,23.440001,23.549999,23.460962,11471800
2023-06-12,23.120001,23.620001,22.950001,23.250000,23.162098,13068100
2023-06-13,23.600000,24.100000,23.320000,23.340000,23.251759,12455800
2023-06-14,23.650000,23.840000,22.650000,22.809999,22.723761,13703400
2023-06-15,22.920000,23.610001,22.910000,23.290001,23.201948,12546300
2023-06-16,23.440001,23.590000,23.250000,23.500000,23.411154,18398800
2023-06-20,23.219999,23.299999,22.510000,22.820000,22.733723,12446500
2023-06-21,22.750000,23.320000,22.670000,23.040001,22.952892,10655400
2023-06-22,22.639999,22.709999,22.080000,22.250000,22.165878,15071200
2023-06-23,21.889999,22.190001,21.860001,21.950001,21.867014,12314700
2023-06-26,22.040001,22.430000,22.030001,22.160000,22.076220,13376500
2023-06-27,22.000000,22.299999,21.879999,22.110001,22.026409,13955700
2023-06-28,22.209999,22.389999,21.900000,22.340000,22.255539,13408200
2023-06-29,22.520000,22.930000,22.430000,22.930000,22.843307,12193900
2023-06-30,23.160000,23.270000,22.840000,23.020000,22.932968,10736400
2023-07-03,23.000000,23.309999,22.879999,23.000000,22.913044,4473800
2023-07-05,23.240000,23.260000,22.780001,22.900000,22.813421,9568600
2023-07-06,22.650000,22.910000,21.969999,22.540001,22.454782,13857300
2023-07-07,22.459999,23.750000,22.459999,23.520000,23.431078,18662100
2023-07-10,23.320000,23.809999,23.230000,23.799999,23.710018,12628700
2023-07-11,24.090000,24.559999,23.950001,24.330000,24.238014,14668700
2023-07-12,24.610001,24.969999,24.540001,24.790001,24.696278,12062200
2023-07-13,24.790001,25.299999,24.620001,25.129999,25.034990,14160100
2023-07-14,24.910000,24.950001,23.969999,24.080000,23.988960,13301100
2023-07-17,24.049999,24.170000,23.850000,23.959999,23.869413,12426500
2023-07-18,23.940001,25.020000,23.889999,24.799999,24.706238,12989100
2023-07-19,24.709999,25.180000,24.620001,24.870001,24.775974,10726700
2023-07-20,25.180000,25.299999,24.920000,25.230000,25.134611,10775000
2023-07-21,25.299999,25.360001,25.010000,25.290001,25.194386,15277700
2023-07-24,25.500000,25.969999,25.370001,25.639999,25.543062,14894400
2023-07-25,25.639999,26.209999,25.500000,25.980000,25.881777,12298100
2023-07-26,25.750000,26.110001,25.680000,26.110001,26.011286,11948700
2023-07-27,26.299999,26.400000,25.809999,25.860001,25.762232,9196100
2023-07-28,26.040001,26.110001,25.709999,26.100000,26.001324,7836600
2023-07-31,26.379999,26.490000,26.129999,26.270000,26.170681,8601400
2023-08-01,26.030001,26.260000,25.740000,26.180000,26.081020,10049400
2023-08-02,25.879999,25.950001,25.290001,25.709999,25.612797,11953600
2023-08-03,25.620001,26.340000,25.030001,25.780001,25.682533,14212400
2023-08-04,26.020000,26.530001,25.910000,26.180000,26.081020,12380600
2023-08-07,26.280001,26.440001,25.930000,26.020000,25.921625,11530000
2023-08-08,25.469999,26.000000,25.209999,25.820000,25.722382,10131900
2023-08-09,26.209999,26.820000,25.969999,26.270000,26.170681,11956800
2023-08-10,26.290001,26.639999,26.040001,26.240000,26.140793,11372400
2023-08-11,26.240000,26.990000,26.190001,26.840000,26.738525,10502700
2023-08-14,26.809999,26.850000,26.290001,26.450001,26.350000,8461400
2023-08-15,26.080000,26.129999,25.719999,25.860001,25.860001,7309500
2023-08-16,26.000000,26.309999,25.540001,25.559999,25.559999,7063200
2023-08-17,26.059999,26.260000,25.879999,26.000000,26.000000,11933000
2023-08-18,25.709999,26.549999,25.709999,26.389999,26.389999,10304700
2023-08-21,26.580000,26.809999,26.170000,26.440001,26.440001,12166100
2023-08-22,26.450001,26.629999,26.090000,26.110001,26.110001,8637900
2023-08-23,25.780001,25.879999,25.459999,25.730000,25.730000,8305600
2023-08-24,25.500000,25.820000,25.350000,25.520000,25.520000,8305000
2023-08-25,25.709999,25.850000,25.360001,25.620001,25.620001,9412700
2023-08-28,25.850000,26.209999,25.660000,25.920000,25.920000,7299300
2023-08-29,25.930000,26.209999,25.730000,26.139999,26.139999,8090000
2023-08-30,26.309999,26.469999,26.209999,26.379999,26.379999,7169400
2023-08-31,26.490000,26.500000,26.160000,26.350000,26.350000,9141600
2023-09-01,26.760000,27.230000,26.709999,27.110001,27.110001,9783200
2023-09-05,27.309999,27.660000,27.150000,27.160000,27.160000,9553000
2023-09-06,27.010000,27.370001,26.750000,27.090000,27.090000,9194600
2023-09-07,27.080000,27.250000,26.670000,26.700001,26.700001,10842200
2023-09-08,26.950001,27.600000,26.900000,27.309999,27.309999,9597700
2023-09-11,27.500000,27.629999,26.120001,26.160000,26.160000,16014400
2023-09-12,26.450001,27.200001,26.440001,27.129999,27.129999,9792500
2023-09-13,27.219999,27.280001,26.520000,26.570000,26.570000,11109900
2023-09-14,27.040001,27.629999,27.040001,27.330000,27.330000,12940100
2023-09-15,27.110001,27.570000,26.770000,26.879999,26.879999,18333600
2023-09-18,27.150000,27.219999,26.639999,26.900000,26.900000,8817400
2023-09-19,27.240000,27.370001,26.480000,26.750000,26.750000,10306300
2023-09-20,26.639999,26.950001,26.139999,26.150000,26.150000,9387200
2023-09-21,26.270000,26.440001,25.730000,25.870001,25.870001,12854900
2023-09-22,26.120001,26.400000,26.000000,26.160000,26.160000,11662800
2023-09-25,26.139999,26.709999,26.070000,26.610001,26.610001,10480900
2023-09-26,26.320000,26.629999,26.129999,26.290001,26.290001,10649800
2023-09-27,26.820000,27.680000,26.660000,27.389999,27.389999,13809500
2023-09-28,27.270000,27.629999,27.190001,27.410000,27.410000,6715500
2023-09-29,27.530001,27.530001,26.700001,26.750000,26.750000,11356800
2023-10-02,26.790001,26.820000,25.280001,25.590000,25.590000,11930900
2023-10-03,25.320000,25.730000,25.190001,25.680000,25.680000,9737800
2023-10-04,25.230000,25.309999,24.049999,24.400000,24.400000,12240200
2023-10-05,24.040001,24.540001,24.010000,24.240000,24.240000,10531300
2023-10-06,24.360001,24.820000,24.000000,24.590000,24.590000,10641300
2023-10-09,25.620001,26.389999,25.370001,26.219999,26.219999,16614100
2023-10-10,26.129999,26.430000,25.889999,26.230000,26.230000,9329800
2023-10-11,26.139999,26.540001,25.879999,26.490000,26.490000,9613900
2023-10-12,26.740000,26.980000,26.570000,26.799999,26.799999,10170100
2023-10-13,27.360001,28.160000,27.240000,28.070000,28.070000,12716100
2023-10-16,28.280001,28.480000,27.740000,28.450001,28.450001,10003300
